seed,intensity,K,start_id,depth_k,slice_status,n_survivors,n_endpoint_identities,top1_endpoint_pair,top1_endpoint_count,top1_endpoint_mass_fraction,top3_endpoint_count,top3_endpoint_mass_fraction,endpoint_entropy_nats,effective_endpoint_count,turnover_from_previous_depth
1000006,4800.0,8,0,1,EVALUABLE,1,1,"[57,444]",1,1.0,1,1.0,0.0,1.0,NA
1000006,4800.0,8,0,2,EVALUABLE,3,3,"[444,1214]",1,0.3333333333333333,3,1.0,1.0986122886681096,2.9999999999999996,1.0
1000006,4800.0,8,0,3,EVALUABLE,5,5,"[1214,485]",1,0.2,3,0.6,1.6094379124341005,5.000000000000001,1.0
1000006,4800.0,8,0,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000006,4800.0,8,0,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,0,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,1,EVALUABLE,1,1,"[57,908]",1,1.0,1,1.0,0.0,1.0,NA
1000006,4800.0,8,1,2,EVALUABLE,8,8,"[908,430]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000006,4800.0,8,1,3,EVALUABLE,8,8,"[430,224]",1,0.125,3,0.375,2.0794415416798357,7.999999999999998,1.0
1000006,4800.0,8,1,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000006,4800.0,8,1,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,6,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,7,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,8,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,9,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,10,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,11,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,12,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,13,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,14,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,15,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,16,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,17,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,18,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,19,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,20,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,21,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,22,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,23,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,24,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,1,25,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,2,1,EVALUABLE,1,1,"[57,1090]",1,1.0,1,1.0,0.0,1.0,NA
1000006,4800.0,8,2,2,EVALUABLE,5,5,"[1090,97]",1,0.2,3,0.6,1.6094379124341005,5.000000000000001,1.0
1000006,4800.0,8,2,3,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,1.0
1000006,4800.0,8,2,4,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
1000006,4800.0,8,2,5,EMPTY,0,0,NA,0,0.0,0,0.0,0.0,0.0,0.0
